ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
76,Technology,AI & Robotics,"Cloud Computing, Web Development, Machine Learning","Java, React, API Development, Python",AI Engineer,26250 - 67500 SAR,"None, Google ML Certification","TensorFlow, Arduino, GitHub","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
77,Technology,Computer Science,"Cloud Computing, App Development, Data Science","Python, Data Analysis, Machine Learning, API Development",AI Engineer,26250 - 67500 SAR,"TensorFlow Developer Certificate, None","Arduino, MATLAB, Tableau","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
78,Design,Graphic Design,"Motion Graphics, 3D Design, UI/UX","Wireframing, After Effects, UI/UX Research, Sketch",Motion Graphics Designer,16875 - 45000 SAR,"Adobe After Effects Certification, Motion Graphics Pro","Maya, Cinema 4D, Procreate","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
79,Business,Finance,"Entrepreneurship, Digital Marketing, Consulting","Social Media Marketing, Project Management, SEO, Supply Chain Management",Sales Manager,20625 - 56250 SAR,"None, Salesforce Certification","Asana, Microsoft Power BI, Oracle ERP","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
80,Design,UI/UX,"3D Design, Branding, Motion Graphics","Typography, 3D Animation, Blender, UI/UX Research",3D Artist,16875 - 45000 SAR,"None, Blender Certification","Maya, Krita, Cinema 4D","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
81,Technology,Data Science,"Machine Learning, Data Science, Cloud Computing","Kubernetes, Machine Learning, AWS, Java",Cybersecurity Analyst,26250 - 67500 SAR,"None, CompTIA Security+","IBM Watson, Apache Spark, GitHub","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
82,Design,Graphic Design,"3D Design, UI/UX, Motion Graphics","Illustrator, 3D Animation, After Effects, Sketch",Product Designer,16875 - 45000 SAR,"None, Certified Design Thinking Professional","Sketch, Maya, Adobe XD",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
83,Business,Project Management,"Business Strategy, Entrepreneurship, Consulting","Presentation Skills, Advertising, Negotiation, SEO",Marketing Manager,16875 - 45000 SAR,"Google Ads Certification, Certified Digital Marketing Professional","Trello, Monday.com, HubSpot","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
84,Technology,Cyber Security,"App Development, Web Development, Cloud Computing","TensorFlow, Cybersecurity, AWS, iOS Development",Cloud Architect,18750 - 56250 SAR,"AWS Certified Solutions Architect, Google Cloud Architect","Docker, Microsoft Azure, Apache Spark","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
85,Design,Product Design,"UI/UX, Illustration, Branding","Typography, Sketch, Illustrator, 3D Animation",UI/UX Designer,18750 - 52500 SAR,"None, Adobe Certified Expert","Adobe XD, Affinity Designer, Krita","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
86,Design,Animation,"Illustration, Motion Graphics, 3D Design","Sketch, Cinema 4D, Motion Graphics, Product Prototyping",Motion Graphics Designer,16875 - 45000 SAR,"None, Motion Graphics Pro","Affinity Designer, Figma, Blender","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
87,Technology,Computer Science,"Blockchain, Machine Learning, Data Science","Python, Kubernetes, SQL, Java",Frontend Developer,15000 - 45000 SAR,"Certified JavaScript Developer, Google Mobile Web Specialist","Apache Spark, Arduino, Tableau","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
88,Technology,Data Science,"Machine Learning, Data Science, Cloud Computing","SQL, Android Development, C++, Cybersecurity",Data Scientist,26250 - 67500 SAR,"None, Google Data Analytics Certificate","GitHub, Jupyter Notebook, Oracle Cloud","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
89,Design,UI/UX,"Illustration, UI/UX, Motion Graphics","Illustrator, Product Prototyping, Typography, 3D Animation",Product Designer,16875 - 45000 SAR,"None, Certified Design Thinking Professional","Sketch, Cinema 4D, ZBrush",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
90,Technology,AI & Robotics,"Blockchain, App Development, Cloud Computing","TensorFlow, API Development, Kubernetes, Cybersecurity",Cybersecurity Analyst,18750 - 56250 SAR,"None, Certified Ethical Hacker (CEH)","Tableau, Apache Spark, TensorFlow","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
91,Technology,Computer Science,"Cloud Computing, App Development, Blockchain","C++, Machine Learning, TensorFlow, Swift",Cloud Architect,26250 - 67500 SAR,"AWS Certified Solutions Architect, None","Power BI, Tableau, Arduino","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
92,Business,Project Management,"Sales, Business Strategy, Entrepreneurship","Project Management, Social Media Marketing, Market Research, Salesforce",HR Specialist,20625 - 56250 SAR,"None, PMP","Asana, HubSpot, Microsoft Power BI","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
93,Design,Product Design,"3D Design, Motion Graphics, Branding","Brand Identity, 3D Animation, Typography, Blender",UI/UX Designer,18750 - 52500 SAR,"Adobe Certified Expert, None","Maya, Figma, Blender","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
94,Business,Project Management,"Sales, Digital Marketing, Consulting","Excel, Presentation Skills, Negotiation, Google Analytics",Marketing Manager,20625 - 56250 SAR,"Certified Digital Marketing Professional, Google Ads Certification","Monday.com, Slack, SAP","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
95,Business,Project Management,"Entrepreneurship, Sales, Consulting","Negotiation, Financial Analysis, Project Management, Advertising",Marketing Manager,22500 - 60000 SAR,"None, Certified Digital Marketing Professional","Monday.com, Google Analytics, HubSpot","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
96,Technology,Software Engineering,"Cloud Computing, Data Science, Web Development","TensorFlow, Blockchain, Swift, API Development",Cybersecurity Analyst,15000 - 45000 SAR,"Certified Ethical Hacker (CEH), CompTIA Security+","Jupyter Notebook, TensorFlow, IBM Watson","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
97,Design,Product Design,"3D Design, UI/UX, Motion Graphics","3D Animation, Graphic Design, Motion Graphics, Figma",UI/UX Designer,18750 - 52500 SAR,"Google UX Design Certificate, None","Figma, CorelDRAW, Affinity Designer","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
98,Design,Graphic Design,"Branding, 3D Design, Motion Graphics","UI/UX Research, Adobe Photoshop, After Effects, Motion Graphics",Motion Graphics Designer,16875 - 45000 SAR,"Adobe After Effects Certification, None","Canva, Figma, Maya","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
99,Technology,Software Engineering,"Blockchain, Data Science, Machine Learning","Cloud Computing, Python, AWS, React",AI Engineer,26250 - 67500 SAR,"None, Google ML Certification","GitHub, Google Cloud, Arduino","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
